Purchase__basketValueGross,Purchase__purchaseType,Purchase__overallBasketSavings,Purchase__storeId,Purchase__paymentType__category,Purchase__paymentType__amount,Purchase__timeStamp,Purchase__basketValueNet,Purchase__says,Purchase__storeName,Purchase__storeFormat,Purchase__product__name,Purchase__product__quantity,Purchase__product__channel,Purchase__product__price
61.96,IN_STORE,0.3,3189.0,,61.66,2021-09-28 18:56:42.007,61.66,,SOUTHWARK,SuperStore,Tesco Sirloin Steak 227G,1.0,IN_STORE,3.8
,,,,,,,,,,,Bahlsen Baileys Choco Leibniz Biscuits 135G,1.0,IN_STORE,1.49
,,,,,,,,,,,Tesco Watermelon Wedges 550G,2.0,IN_STORE,2.5
,,,,,,,,,,,Nivea Men Black & White Power Antiperspirant Deodo...,1.0,IN_STORE,1.6
,,,,,,,,,,,Nivea Men Black & White Power Antiperspirant Deodo...,1.0,IN_STORE,0.95
,,,,,,,,,,,Swizzels Lolly Mix Bag 365G,2.0,IN_STORE,2.0
,,,,,,,,,,,Tesco Aubergine Each,1.0,IN_STORE,0.69
,,,,,,,,,,,Tesco Finest Black Forest Gateaux Shortbread 160G,1.0,IN_STORE,3.0
,,,,,,,,,,,Galaxy Salted Caramel 135G,3.0,IN_STORE,0.99
,,,,,,,,,,,Klc Creepy Pumpkins Solid Milk Chocolate 75G,2.0,IN_STORE,1.0
,,,,,,,,,,,Nivea For Men Dry Antiperspirant Deodorant 250Ml,2.0,IN_STORE,1.6
,,,,,,,,,,,Cadbury Chunk Advent Calendar 258G,1.0,IN_STORE,5.0
,,,,,,,,,,,Galaxy Caramel Chocolate Bar 135G,3.0,IN_STORE,0.99
,,,,,,,,,,,Cadbury Roses Tub 600G,1.0,IN_STORE,4.0
,,,,,,,,,,,Cadbury Dairy Milk Caramel Chocolate Bar 120G,3.0,IN_STORE,0.98
,,,,,,,,,,,Cadbury Heroes Tub 600G,1.0,IN_STORE,4.0
,,,,,,,,,,,Tesco Finest Irish Cream Florentines 105G,1.0,IN_STORE,2.5
,,,,,,,,,,,Tesco Organic Tenderstem Broccoli 200G,1.0,IN_STORE,2.5
,,,,,,,,,,,Cadbury Pop Up Advent Calendar 267G,1.0,IN_STORE,5.0
,,,,,,,,,,,Tesco Natural Sweet Sweetcorn In Water 200G,3.0,IN_STORE,0.45
,,,,,,,,,,,Jaffa Candy Floss Grapes 800G,1.0,IN_STORE,3.0
24.28,IN_STORE,0.79,3189.0,,23.49,2021-09-25 17:39:11.094,23.49,,SOUTHWARK,SuperStore,Tesco Mixed Sized Organic Eggs 6 Pack,1.0,IN_STORE,1.8
,,,,,,,,,,,Tesco Organic Baby Potatoes 750G,1.0,IN_STORE,1.1
,,,,,,,,,,,Mowi 4 Smoked Scottish Salmon Slices 100G,1.0,IN_STORE,5.0
,,,,,,,,,,,Highland Spring Sparkling Water 6 X 1L,1.0,IN_STORE,3.0
,,,,,,,,,,,Finest Echalion Shallots 400G,1.0,IN_STORE,1.2
,,,,,,,,,,,Twinings Rooibos & Honey 20 Teabags 36G,1.0,IN_STORE,2.5
,,,,,,,,,,,Tesco Bananas Loose,1.0,IN_STORE,0.73
,,,,,,,,,,,Tesco Aubergine Each,1.0,IN_STORE,0.69
,,,,,,,,,,,Tesco Lemon & Ginger 40S 80G,1.0,IN_STORE,1.2
,,,,,,,,,,,Tesco Carrots 1Kg,1.0,IN_STORE,0.4
,,,,,,,,,,,Tesco British Chicken Thighs 1Kg,1.0,IN_STORE,2.0
,,,,,,,,,,,Tesco Orange Minimum 5 Pack,1.0,IN_STORE,1.5
,,,,,,,,,,,Twinings Strawberry & Raspberry 40G,1.0,IN_STORE,1.7
,,,,,,,,,,,Twining's Cherry & Cinnamon Tea Bags 20'S 40G,1.0,IN_STORE,1.7
21.45,IN_STORE,2.76,3189.0,,18.45,2021-09-16 19:00:09.982,18.45,,SOUTHWARK,SuperStore,Tesco Bunched Spring Onions 100G,1.0,IN_STORE,0.37
,,,,,,,,,,,Tesco White Seedless Grapes 400G Plus 25% Extra,1.0,IN_STORE,2.0
,,,,,,,,,,,Koko Dairy Free Unsweetened Alternative Longlife D...,1.0,IN_STORE,1.5
,,,,,,,,,,,Falfish Cornish Butterfly Sardine Fillets 180G,1.0,IN_STORE,2.4
,,,,,,,,,,,Fresh & Naked Just Wild Rocket 60G,1.0,IN_STORE,0.85
,,,,,,,,,,,Total Greek Strained Yogurt 500G,1.0,IN_STORE,2.75
,,,,,,,,,,,Haribo Tangfastics 175G,1.0,IN_STORE,0.79
,,,,,,,,,,,Tesco Finest 2 Eton Mess Pots 200G,1.0,IN_STORE,3.0
,,,,,,,,,,,Tesco Finest White Sourdough Loaf 400G,1.0,IN_STORE,1.5
,,,,,,,,,,,Alpro Coconut No Sugars Long Life Drink 1 Litre,1.0,IN_STORE,1.7
,,,,,,,,,,,Tesco Universal Bag For Life,1.0,IN_STORE,0.2
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1.0,IN_STORE,1.6
,,,,,,,,,,,Tesco Sweet & Crunchy Salad 250G,1.0,IN_STORE,0.79
,,,,,,,,,,,Linda Mccartney Organic Barista Coconut Drink 1L,1.0,IN_STORE,2.0
64.32,IN_STORE,10.55,3189.0,,53.77,2021-09-10 18:40:04.764,53.77,,SOUTHWARK,SuperStore,Mancave Caffeine Shampoo 200Ml,1.0,IN_STORE,5.5
,,,,,,,,,,,Tesco Bunched Spring Onions 100G,1.0,IN_STORE,0.37
,,,,,,,,,,,Tesco Large Chicken Fillet Pack 1.6Kg,1.0,IN_STORE,8.45
,,,,,,,,,,,Method Wood Floor Cleaner 739Ml,2.0,IN_STORE,4.0
,,,,,,,,,,,Gressingham Duck Fillets 250G,2.0,IN_STORE,4.25
,,,,,,,,,,,Buxton Sparkling 6X1litre,1.0,IN_STORE,3.0
,,,,,,,,,,,Tesco Twin Garlic Baguette 410G,1.0,IN_STORE,1.6
,,,,,,,,,,,Glade Aromatherapy Candle Calm Mind 260G,1.0,IN_STORE,9.0
,,,,,,,,,,,Nivea For Men Dry Antiperspirant Deodorant 250Ml,1.0,IN_STORE,1.6
,,,,,,,,,,,Princes Drained Tuna Chunk In Brine 110G,3.0,IN_STORE,1.5
,,,,,,,,,,,T.Kent Baby Plum Tomatoes 325G,1.0,IN_STORE,1.0
,,,,,,,,,,,Tesco Ironing Water Spring Fresh 1Lt,3.0,IN_STORE,0.8
,,,,,,,,,,,Tesco Finest King Oyster Mushrooms 150G,1.0,IN_STORE,1.6
,,,,,,,,,,,Tesco Beef Rump Steak 255G,1.0,IN_STORE,3.8
,,,,,,,,,,,Good Boy Wagtastic Cuddle Friends,1.0,IN_STORE,5.0
38,IN_STORE,,3720.0,,38.0,2021-09-05 12:16:17.898,38.0,,SOUTHWARK PFS,Petrol,UNLEADED,1.0,IN_STORE,1.33
1.6,IN_STORE,,3189.0,,1.6,2021-08-30 17:24:51.170,1.6,,SOUTHWARK,SuperStore,Tesco Finest King Oyster Mushrooms 150G,1.0,IN_STORE,1.6
25.73,IN_STORE,5.0,3189.0,,20.73,2021-08-30 17:24:12.577,20.73,,SOUTHWARK,SuperStore,Off The Eaten Path Pea & Bean Stick Sea Salt 100G,1.0,IN_STORE,2.25
,,,,,,,,,,,Tesco Watermelon Wedges 550G,1.0,IN_STORE,2.5
,,,,,,,,,,,Botanica Airwick Vanilla & Himalayan Magnolia 205G,1.0,IN_STORE,7.0
,,,,,,,,,,,Willow Farm Chicken Thighs 900G - 1.2Kg,1.0,IN_STORE,1.73
,,,,,,,,,,,Off The Eaten Path Black Pepper Pea & Bean Stick 1...,1.0,IN_STORE,2.25
,,,,,,,,,,,Tesco Pork Ribs 700G,1.0,IN_STORE,4.2
,,,,,,,,,,,Good Boy Wagtastic Cuddle Friends,1.0,IN_STORE,5.0
,,,,,,,,,,,Tesco Ironing Water Spring Fresh 1Lt,1.0,IN_STORE,0.8
